 pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,image_path
34.8,-137.5,574.8,0.484,-0.023,-0.008,0,0,0,0,0.55,0.55,0,0.24,0.59,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_001.jpg
-16.3,26.4,273.2,0.134,-0.049,-0.101,0,0,2.77,0,0.77,0.79,0,0.87,0.17,1.31,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_002.jpg
-6.2,10.3,269.6,0.041,0.167,-0.013,0,0,1.85,0,2.09,0,0,1.97,2.31,2.58,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_003.jpg
-17.2,18.1,374.3,0.086,-0.272,-0.161,0,0,0.97,0,0,0.52,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_004.jpg
-15.9,9.6,207.6,-0.077,0.245,0.004,0,0,0.72,0,0.3,0.72,0,0.29,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_005.jpg
19.2,-10.6,195.1,0.179,0.073,-0.039,0,0,0.66,0,1.82,2.72,0,1.65,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_006.jpg
9.5,-21.8,341.2,0.28,-0.171,0.087,0,0,0.24,0,3.15,2.93,0,2.94,0.56,0.57,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_007.jpg
-27496504,-20622378,42963288,-0.461,0.415,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_008.jpg
-50.7,-59.5,569.3,0.427,0.073,0.033,0,0,0,0,0.33,0,0,0,0.34,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_009.jpg
30.1,28.8,311.7,0.063,-0.279,0.033,0,0,0,0,1.66,0.67,0,1.67,1.95,2.15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_010.jpg
