 pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,image_path
24.9,14.5,241.5,-0.06,0.055,-0.023,0,0,0.22,0,0.2,0.45,0,1.04,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000001.jpg
25.1,14.5,242.2,-0.051,0.056,-0.027,0,0,0.21,0,0.08,0.36,0,0.76,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000002.jpg
25.2,14.4,242.4,-0.059,0.054,-0.024,0,0,0.35,0,0.27,0.92,0,1.21,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000003.jpg
24.9,14.1,239.4,-0.057,0.054,-0.024,0,0,0.6,0,0.58,1.06,0,1.2,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000004.jpg
24.4,13.7,235.5,-0.064,0.056,-0.021,0,0,1.1,0,1.03,1.97,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000005.jpg
24.8,13.7,238.3,-0.07,0.066,-0.029,0,0,1.48,0,1.33,2.14,0,1.33,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000006.jpg
24.6,13.5,237.6,-0.063,0.062,-0.025,0,0,1.3,0,1.53,2.56,0,1.56,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000007.jpg
24.7,13.5,238,-0.076,0.064,-0.026,0,0,1.44,0,1.65,2.8,0,1.54,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000008.jpg
24.9,13.5,239.5,-0.069,0.066,-0.03,0,0,1.3,0,1.65,3,0,1.84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000009.jpg
24.5,13.6,238.5,-0.09,0.055,-0.015,0,0,1.49,0,1.7,2.66,0,1.53,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/CK+-Processed/cohn-kanade-images/S005/001/S005_001_00000010.jpg
